PtCent R_AA
0.1 1.07831
0.3 1.07578
0.5 1.07119
0.7 1.06464
0.9 1.05593
1.1 1.04466
1.3 1.03129
1.5 1.01667
1.7 1.00055
1.9 0.98385
2.1 0.96480
2.3 0.94587
2.5 0.92708
2.7 0.90588
2.9 0.88450
3.1 0.86433
3.3 0.84237
3.5 0.82223
3.7 0.80332
3.9 0.78308
4.1 0.76616
4.3 0.74845
4.5 0.73224
4.7 0.71607
4.9 0.70161
5.1 0.68840
5.3 0.67874
5.5 0.66718
5.7 0.65782
5.9 0.64796
6.1 0.64100
6.3 0.63465
6.5 0.62720
6.7 0.62272
6.9 0.61860
7.1 0.61425
7.3 0.61000
7.5 0.60746
7.7 0.60461
7.9 0.60254
8.1 0.59973
8.3 0.59898
8.5 0.59699
8.7 0.59572
8.9 0.59491
9.1 0.59389
9.3 0.59278
9.5 0.59249
9.7 0.59279
9.9 0.59252
10.1 0.59328
10.3 0.59255
10.5 0.59347
10.7 0.59341
10.9 0.59342
11.1 0.59516
11.3 0.59557
11.5 0.59613
11.7 0.59631
11.9 0.59755
12.1 0.59773
12.3 0.59916
12.5 0.59931
12.7 0.60045
12.9 0.60135
13.1 0.60308
13.3 0.60352
13.5 0.60365
13.7 0.60365
13.9 0.60494
14.1 0.60603
14.3 0.60657
14.5 0.60714
14.7 0.60725
14.9 0.60792
15.1 0.60790
15.3 0.60772
15.5 0.61011
15.7 0.60894
15.9 0.60941
16.1 0.60872
16.3 0.60953
16.5 0.60870
16.7 0.61048
16.9 0.60916
17.1 0.60857
17.3 0.61084
17.5 0.60859
17.7 0.60679
17.9 0.61092
18.1 0.60978
18.3 0.60771
18.5 0.60355
18.7 0.60737
18.9 0.60624
19.1 0.60686
19.3 0.60443
19.5 0.60291
19.7 0.60533
19.9 0.60293
20.1 0.60513
20.3 0.60021
20.5 0.60450
20.7 0.59673
20.9 0.59977
21.1 0.60127
21.3 0.59779
21.5 0.59842
21.7 0.60012
21.9 0.58863
22.1 0.59235
22.3 0.59892
22.5 0.59313
22.7 0.59870
22.9 0.59170
23.1 0.59107
23.3 0.58325
23.5 0.58586
23.7 0.59515
23.9 0.59458
24.1 0.58343
24.3 0.58683
24.5 0.58691
24.7 0.59018
24.9 0.59142
