PtCent R_AA
0.1 1.90305
0.3 1.90472
0.5 1.90193
0.7 1.89605
0.9 1.88643
1.1 1.87242
1.3 1.85240
1.5 1.82627
1.7 1.79640
1.9 1.76289
2.1 1.72577
2.3 1.68531
2.5 1.64040
2.7 1.59601
2.9 1.55096
3.1 1.50221
3.3 1.45397
3.5 1.40826
3.7 1.36118
3.9 1.30984
4.1 1.27102
4.3 1.22393
4.5 1.17781
4.7 1.14173
4.9 1.10014
5.1 1.06164
5.3 1.03342
5.5 0.99619
5.7 0.96948
5.9 0.94081
6.1 0.91403
6.3 0.88894
6.5 0.86496
6.7 0.84444
6.9 0.82414
7.1 0.80435
7.3 0.78968
7.5 0.77614
7.7 0.76205
7.9 0.74978
8.1 0.73551
8.3 0.72652
8.5 0.71673
8.7 0.70827
8.9 0.69990
9.1 0.69297
9.3 0.68635
9.5 0.68014
9.7 0.67518
9.9 0.67096
10.1 0.66540
10.3 0.66251
10.5 0.65921
10.7 0.65505
10.9 0.65250
11.1 0.65056
11.3 0.64873
11.5 0.64586
11.7 0.64512
11.9 0.64267
12.1 0.64125
12.3 0.64083
12.5 0.63900
12.7 0.63966
12.9 0.63886
13.1 0.63782
13.3 0.63703
13.5 0.63641
13.7 0.63594
13.9 0.63535
14.1 0.63604
14.3 0.63629
14.5 0.63632
14.7 0.63608
14.9 0.63514
15.1 0.63606
15.3 0.63600
15.5 0.63585
15.7 0.63642
15.9 0.63682
16.1 0.63720
16.3 0.63797
16.5 0.63673
16.7 0.63793
16.9 0.63758
17.1 0.63685
17.3 0.63572
17.5 0.63881
17.7 0.63573
17.9 0.63769
18.1 0.63638
18.3 0.63616
18.5 0.63781
18.7 0.63679
18.9 0.63667
19.1 0.63818
19.3 0.63698
19.5 0.63779
19.7 0.63916
19.9 0.63587
20.1 0.63527
20.3 0.63817
20.5 0.64031
20.7 0.63651
20.9 0.63512
21.1 0.63699
21.3 0.63781
21.5 0.63525
21.7 0.63985
21.9 0.63593
22.1 0.63471
22.3 0.63601
22.5 0.62898
22.7 0.63149
22.9 0.63136
23.1 0.63433
23.3 0.63277
23.5 0.62829
23.7 0.62685
23.9 0.63118
24.1 0.63258
24.3 0.62305
24.5 0.63351
24.7 0.62863
24.9 0.63038
 
